Video Name,link,teams,game_id,player_name,player_id,player_team,make/miss
203999_Shot_2,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=35&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%201%20of%202%20%283%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_3,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=36&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%202%20of%202%20%284%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_4,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=43&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%201%20of%202%20%285%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_5,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=47&GameID=0042400227&Season=2024&flag=1&title=MISS%20Jokic%20Free%20Throw%202%20of%202,DENOKC,0042400227,Nikola Jokić,203999,DEN,MISS
203999_Shot_6,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=66&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%201%20of%202%20%286%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_7,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=69&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%202%20of%202%20%287%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203932_Shot_3,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=81&GameID=0042400227&Season=2024&flag=1&title=Gordon%20Free%20Throw%201%20of%201%20%283%20PTS%29,DENOKC,0042400227,Aaron Gordon,203932,DEN,MAKE
1631212_Shot_1,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=105&GameID=0042400227&Season=2024&flag=1&title=MISS%20Watson%20Free%20Throw%201%20of%202,DENOKC,0042400227,Peyton Watson,1631212,DEN,MISS
1631212_Shot_2,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=107&GameID=0042400227&Season=2024&flag=1&title=MISS%20Watson%20Free%20Throw%202%20of%202,DENOKC,0042400227,Peyton Watson,1631212,DEN,MISS
1631114_Shot_4,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=170&GameID=0042400227&Season=2024&flag=1&title=MISS%20Jal.%20Williams%20Free%20Throw%201%20of%201,DENOKC,0042400227,Jalen Williams,1631114,OKC,MISS
203999_Shot_12,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=221&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%201%20of%201%20%2810%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
1628983_Shot_6,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=233&GameID=0042400227&Season=2024&flag=1&title=MISS%20Gilgeous-Alexander%20Free%20Throw%201%20of%202,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MISS
1628983_Shot_7,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=241&GameID=0042400227&Season=2024&flag=1&title=Gilgeous-Alexander%20Free%20Throw%202%20of%202%20%287%20PTS%29,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MAKE
203932_Shot_5,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=257&GameID=0042400227&Season=2024&flag=1&title=Gordon%20Free%20Throw%201%20of%202%20%287%20PTS%29,DENOKC,0042400227,Aaron Gordon,203932,DEN,MAKE
203932_Shot_6,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=264&GameID=0042400227&Season=2024&flag=1&title=Gordon%20Free%20Throw%202%20of%202%20%288%20PTS%29,DENOKC,0042400227,Aaron Gordon,203932,DEN,MAKE
203999_Shot_14,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=276&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%201%20of%202%20%2811%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_15,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=279&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%202%20of%202%20%2812%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
203999_Shot_17,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=335&GameID=0042400227&Season=2024&flag=1&title=MISS%20Jokic%20Free%20Throw%201%20of%202,DENOKC,0042400227,Nikola Jokić,203999,DEN,MISS
203999_Shot_18,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=341&GameID=0042400227&Season=2024&flag=1&title=Jokic%20Free%20Throw%202%20of%202%20%2815%20PTS%29,DENOKC,0042400227,Nikola Jokić,203999,DEN,MAKE
1628983_Shot_10,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=344&GameID=0042400227&Season=2024&flag=1&title=Gilgeous-Alexander%20Free%20Throw%201%20of%202%20%2811%20PTS%29,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MAKE
1628983_Shot_11,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=347&GameID=0042400227&Season=2024&flag=1&title=Gilgeous-Alexander%20Free%20Throw%202%20of%202%20%2812%20PTS%29,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MAKE
1628983_Shot_13,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=373&GameID=0042400227&Season=2024&flag=1&title=Gilgeous-Alexander%20Free%20Throw%20Flagrant%201%20of%202%20%2815%20PTS%29,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MAKE
1628983_Shot_14,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=374&GameID=0042400227&Season=2024&flag=1&title=Gilgeous-Alexander%20Free%20Throw%20Flagrant%202%20of%202%20%2816%20PTS%29,DENOKC,0042400227,Shai Gilgeous-Alexander,1628983,OKC,MAKE
1629652_Shot_8,https://www.nba.com/stats/events?CFID=&CFPARAMS=&GameEventID=396&GameID=0042400227&Season=2024&flag=1&title=MISS%20Dort%20Free%20Throw%201%20of%202,DENOKC,0042400227,Luguentz Dort,1629652,OKC,MISS
